,algorithm_name
3472,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_RandomForest
3473,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_REPTree
3474,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_JRip
3475,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_AdaBoostM1
3476,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_IBk
3477,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_Logistic
3478,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_MultilayerPerceptron
3479,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_SGD
3480,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_SMO
3481,weka.AttributeSelectedClassifier_GainRatioAttributeEval_Ranker_NaiveBayes
3525,classif.glmboost
3526,classif.hdrda
3529,classif.cforest
3548,weka.AttributeSelectedClassifier_RandomForest
3554,weka.AttributeSelectedClassifier_MultilayerPerceptron
3558,weka.AttributeSelectedClassifier_SMO_PolyKernel
3561,weka.AttributeSelectedClassifier_Logistic
3564,weka.AttributeSelectedClassifier_J48
3568,weka.AttributeSelectedClassifier_IBk
3569,weka.AttributeSelectedClassifier_NaiveBayes
3570,weka.AttributeSelectedClassifier_HoeffdingTree
3571,weka.AttributeSelectedClassifier_REPTree
3572,weka.AttributeSelectedClassifier_SGD
3581,weka.AttributeSelectedClassifier_JRip
3582,classif.ada
3583,classif.avNNet
3662,classif.bartMachine
3663,classif.blackboost
3664,classif.glmboost
3665,classif.avNNet
3666,classif.boosting
3667,classif.mda
3668,classif.nodeHarvest
3669,classif.naiveBayes
3670,classif.randomForestSRCSyn
3671,classif.randomForest
3672,classif.ranger
3673,classif.qda
3674,classif.randomForestSRC
3675,classif.rotationForest
3676,classif.svm
3677,classif.xgboost
3678,classif.binomial
3679,classif.cforest
3680,classif.glmnet
3681,classif.cvglmnet
3682,classif.ctree
3683,classif.gbm
3684,classif.kknn
3685,classif.JRip
3686,classif.J48
3687,classif.IBk
3688,classif.logreg
3689,classif.lda
3690,classif.ksvm
3691,classif.multinom
3692,classif.OneR
3693,classif.nnet
3694,classif.PART
3695,classif.plr
3696,classif.probit
3697,classif.rda
3698,classif.rpart
3699,classif.bdk
3700,classif.dbnDNN
3701,classif.extraTrees
3702,classif.hdrda
3703,classif.lqa
3704,classif.neuralnet
3705,classif.LiblineaRL2LogReg
3706,classif.LiblineaRL1LogReg
3707,classif.mlp
3708,classif.nnTrain
3709,classif.pamr
3710,classif.plsdaCaret
3711,classif.saeDNN
3712,classif.sparseLDA
3713,classif.sda
3714,classif.xyf
3725,classif.ada
3897,weka.AttributeSelectedClassifier_ZeroR
3898,weka.AttributeSelectedClassifier_OneR
3899,weka.AttributeSelectedClassifier_AdaBoostM1_DecisionStump
3901,weka.AttributeSelectedClassifier_Bagging_REPTree
3903,weka.DecisionTable
3904,weka.AttributeSelectedClassifier_BayesNet
3905,weka.BayesNet
3906,weka.AttributeSelectedClassifier_SMO_RBFKernel
3908,weka.AttributeSelectedClassifier_A1DE
3909,weka.AttributeSelectedClassifier_AdaBoostM1_IBk
3910,weka.AdaBoostM1_IBk
3911,weka.AttributeSelectedClassifier_AdaBoostM1_J48
3913,weka.AttributeSelectedClassifier_AdaBoostM1_LMT
3914,weka.AdaBoostM1_LMT
3915,weka.AttributeSelectedClassifier_AdaBoostM1_NaiveBayes
3916,weka.AdaBoostM1_NaiveBayes
3917,weka.AttributeSelectedClassifier_AdaBoostM1_OneR
3918,weka.AdaBoostM1_OneR
3919,weka.AttributeSelectedClassifier_AdaBoostM1_RandomTree
3920,weka.AdaBoostM1_RandomTree
3921,weka.AttributeSelectedClassifier_AdaBoostM1_REPTree
